Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
300,5,289,119,170
300,6,289,124,165
300,7,289,125,164
300,8,289,129,160
300,9,289,125,164
300,10,289,118,171
300,11,289,126,163
300,12,289,118,171
300,13,289,130,159
300,14,289,126,163
300,15,289,116,173
300,16,289,123,166
300,17,289,127,162
300,18,289,122,167
300,19,289,123,166
300,20,289,127,162
300,21,289,121,168
300,22,289,123,166
300,23,289,121,168
300,24,289,126,163
300,25,289,122,167
300,26,289,119,170
300,27,289,122,167
300,28,289,121,168
300,29,289,127,162
300,30,289,124,165
300,31,289,119,170
300,32,289,124,165
300,33,289,125,164
300,34,289,127,162
300,35,289,121,168
300,36,289,123,166
300,37,289,122,167
300,38,289,121,168
300,39,289,120,169
300,40,289,125,164
300,41,289,118,171
300,42,289,127,162
300,43,289,115,174
300,44,289,126,163
300,45,289,126,163
300,46,289,122,167
300,47,289,122,167
300,48,289,117,172
300,49,289,121,168
300,50,289,125,164
300,51,289,120,169
300,52,289,121,168
300,53,289,122,167
300,54,289,120,169
300,55,289,124,165
300,56,289,129,160
300,57,289,124,165
300,58,289,122,167
300,59,289,122,167
300,60,289,127,162
300,61,289,121,168
300,62,289,123,166
300,63,289,124,165
300,64,289,123,166
300,65,289,121,168
300,66,289,122,167
300,67,289,116,173
300,68,289,122,167
300,69,289,120,169
300,70,289,125,164
300,71,289,123,166
300,72,289,118,171
300,73,289,127,162
300,74,289,126,163
300,75,289,128,161
300,76,289,123,166
300,77,289,120,169
300,78,289,128,161
300,79,289,129,160
300,80,289,125,164
300,81,289,117,172
300,82,289,124,165
300,83,289,129,160
300,84,289,127,162
300,85,289,120,169
300,86,289,115,174
300,87,289,121,168
300,88,289,121,168
300,89,289,118,171
300,90,289,124,165
300,91,289,117,172
300,92,289,124,165
300,93,289,127,162
300,94,289,121,168
300,95,289,122,167
300,96,289,117,172
300,97,289,125,164
300,98,289,121,168
300,99,289,130,159
350,0,289,127,162
350,1,289,124,165
350,2,289,124,165
350,3,289,123,166
350,4,289,126,163
350,5,289,122,167
350,6,289,123,166
350,7,289,121,168
350,8,289,122,167
350,9,289,125,164
350,10,289,129,160
350,11,289,134,155
350,12,289,128,161
350,13,289,127,162
350,14,289,130,159
350,15,289,128,161
350,16,289,124,165
350,17,289,129,160
350,18,289,123,166
350,19,289,126,163
350,20,289,123,166
350,21,289,126,163
350,22,289,122,167
350,23,289,126,163
350,24,289,129,160
350,25,289,125,164
350,26,289,123,166
350,27,289,129,160
350,28,289,126,163
350,29,289,125,164
350,30,289,125,164
350,31,289,127,162
350,32,289,125,164
350,33,289,122,167
350,34,289,129,160
350,35,289,123,166
350,36,289,122,167
350,37,289,128,161
350,38,289,129,160
350,39,289,127,162
350,40,289,130,159
350,41,289,125,164
350,42,289,124,165
350,43,289,126,163
350,44,289,118,171
350,45,289,119,170
350,46,289,128,161
350,47,289,122,167
350,48,289,127,162
350,49,289,134,155
350,50,289,124,165
350,51,289,125,164
350,52,289,125,164
350,53,289,126,163
350,54,289,127,162
350,55,289,130,159
350,56,289,128,161
350,57,289,123,166
350,58,289,126,163
350,59,289,121,168
350,60,289,125,164
350,61,289,132,157
350,62,289,123,166
350,63,289,126,163
350,64,289,129,160
350,65,289,126,163
350,66,289,128,161
350,67,289,130,159
350,68,289,126,163
350,69,289,124,165
350,70,289,123,166
350,71,289,126,163
350,72,289,127,162
350,73,289,130,159
350,74,289,124,165
350,75,289,123,166
350,76,289,128,161
350,77,289,125,164
350,78,289,131,158
350,79,289,128,161
350,80,289,122,167
350,81,289,125,164
350,82,289,126,163
350,83,289,128,161
350,84,289,128,161
350,85,289,126,163
350,86,289,124,165
350,87,289,126,163
350,88,289,126,163
350,89,289,123,166
350,90,289,126,163
350,91,289,126,163
350,92,289,124,165
350,93,289,124,165
350,94,289,124,165
350,95,289,123,166
350,96,289,127,162
350,97,289,121,168
350,98,289,118,171
350,99,289,126,163
400,0,289,128,161
400,1,289,127,162
400,2,289,125,164
400,3,289,126,163
400,4,289,125,164
400,5,289,125,164
400,6,289,125,164
400,7,289,127,162
400,8,289,127,162
400,9,289,130,159
400,10,289,129,160
400,11,289,131,158
400,12,289,131,158
400,13,289,131,158
400,14,289,128,161
400,15,289,131,158
400,16,289,128,161
400,17,289,126,163
400,18,289,128,161
400,19,289,132,157
400,20,289,129,160
400,21,289,132,157
400,22,289,124,165
400,23,289,133,156
400,24,289,130,159
400,25,289,125,164
400,26,289,130,159
400,27,289,124,165
400,28,289,129,160
400,29,289,127,162
400,30,289,128,161
400,31,289,125,164
400,32,289,128,161
400,33,289,128,161
400,34,289,124,165
400,35,289,132,157
400,36,289,127,162
400,37,289,127,162
400,38,289,124,165
400,39,289,128,161
400,40,289,126,163
400,41,289,132,157
400,42,289,137,152
400,43,289,128,161
400,44,289,125,164
400,45,289,129,160
400,46,289,133,156
400,47,289,132,157
400,48,289,131,158
400,49,289,128,161
400,50,289,128,161
400,51,289,129,160
400,52,289,130,159
400,53,289,133,156
400,54,289,129,160
400,55,289,130,159
400,56,289,124,165
400,57,289,132,157
400,58,289,128,161
400,59,289,126,163
400,60,289,127,162
400,61,289,131,158
400,62,289,129,160
400,63,289,128,161
400,64,289,129,160
400,65,289,131,158
400,66,289,131,158
400,67,289,133,156
400,68,289,130,159
400,69,289,129,160
400,70,289,128,161
400,71,289,128,161
400,72,289,125,164
400,73,289,127,162
400,74,289,126,163
400,75,289,130,159
400,76,289,125,164
400,77,289,131,158
400,78,289,131,158
400,79,289,127,162
400,80,289,129,160
400,81,289,124,165
400,82,289,129,160
400,83,289,127,162
400,84,289,123,166
400,85,289,131,158
400,86,289,126,163
400,87,289,126,163
400,88,289,134,155
400,89,289,127,162
400,90,289,132,157
400,91,289,133,156
400,92,289,131,158
400,93,289,132,157
400,94,289,124,165
400,95,289,128,161
400,96,289,129,160
400,97,289,132,157
400,98,289,126,163
400,99,289,133,156
450,0,289,129,160
450,1,289,131,158
450,2,289,125,164
450,3,289,127,162
450,4,289,124,165
450,5,289,127,162
450,6,289,129,160
450,7,289,130,159
450,8,289,132,157
450,9,289,135,154
450,10,289,132,157
450,11,289,133,156
450,12,289,128,161
450,13,289,128,161
450,14,289,127,162
450,15,289,135,154
450,16,289,126,163
450,17,289,129,160
450,18,289,131,158
450,19,289,125,164
450,20,289,137,152
450,21,289,126,163
450,22,289,129,160
450,23,289,132,157
450,24,289,129,160
450,25,289,132,157
450,26,289,130,159
450,27,289,131,158
450,28,289,128,161
450,29,289,130,159
450,30,289,130,159
450,31,289,129,160
450,32,289,131,158
450,33,289,126,163
450,34,289,132,157
450,35,289,122,167
450,36,289,131,158
450,37,289,130,159
450,38,289,129,160
450,39,289,131,158
450,40,289,134,155
450,41,289,131,158
450,42,289,132,157
450,43,289,129,160
450,44,289,127,162
450,45,289,136,153
450,46,289,126,163
450,47,289,126,163
450,48,289,127,162
450,49,289,133,156
450,50,289,131,158
450,51,289,132,157
450,52,289,127,162
450,53,289,128,161
450,54,289,131,158
450,55,289,128,161
450,56,289,129,160
450,57,289,128,161
450,58,289,137,152
450,59,289,133,156
450,60,289,128,161
450,61,289,131,158
450,62,289,125,164
450,63,289,128,161
450,64,289,132,157
450,65,289,129,160
450,66,289,127,162
450,67,289,128,161
450,68,289,127,162
450,69,289,130,159
